Name,Symbol,Auto
Container Corporation of India Ltd.,12/01/2000,0
Krebs Biochemicals Ltd.,16/02/2000,0
Shasun Chemicals & Drugs Ltd.,SHASUNCHEM,1
Saregama India Ltd,SAREGAMA,1
Crest Animation Studios Ltd.,24/05/2000,0
Flextronics Software Systems Ltd.,24/05/2000,0
Polaris Software Lab Ltd.,POLARIS,1
Reliance Petroleum Ltd.- Merge,24/05/2000,0
Sri Adhikari Brothers Television Network Ltd.,24/05/2000,0
Visualsoft Technologies Ltd.,24/05/2000,0
Wockhardt Ltd.,WOCKPHARMA,1
Axis Bank Ltd.,AXISBANK,1
Cybertech Systems & Software Ltd.,03/09/2000,0
IDBI Bank Ltd.-OLD,03/09/2000,0
Maars Software International Ltd.,03/09/2000,0
Ramco Industries Ltd.,RAMCOIND,1
Salora International Ltd.,03/09/2000,0
Shyam Telecom Ltd.,03/09/2000,0
Sonata Software Ltd.,SONATSOFTW,1
Jain Studios Ltd.,20/09/2000,0
Origin Agrostar Ltd.,29/11/2000,0
Roofit Industries Ltd.,29/11/2000,0
Engineers India Ltd.,ENGINERSIN,1
MphasiS Ltd.,MPHASIS,1
